iter	Passed	Remaining
696	3683	1601
697	3687	1595
698	3692	1590
699	3697	1584
700	3702	1579
701	3707	1574
702	3712	1568
703	3719	1563
704	3727	1559
705	3732	1554
706	3736	1548
707	3743	1543
708	3749	1538
709	3753	1533
710	3760	1528
711	3765	1523
712	3770	1517
713	3775	1512
714	3779	1506
715	3782	1500
716	3789	1495
717	3793	1490
718	3797	1484
719	3802	1478
720	3808	1473
721	3813	1468
722	3820	1463
723	3824	1457
724	3829	1452
725	3835	1447
726	3842	1442
727	3847	1437
728	3854	1432
729	3860	1427
730	3866	1422
731	3872	1417
732	3881	1413
733	3887	1408
734	3895	1404
735	3902	1399
736	3911	1395
737	3919	1391
738	3927	1386
739	3934	1382
740	3942	1377
741	3951	1374
742	3962	1370
743	3969	1365
744	3978	1361
745	3987	1357
746	3998	1354
747	4006	1349
748	4015	1345
749	4023	1341
750	4029	1336
751	4035	1330
752	4043	1326
753	4048	1320
754	4055	1316
755	4060	1310
756	4064	1304
757	4071	1299
758	4075	1294
759	4080	1288
760	4086	1283
761	4090	1277
762	4094	1271
763	4098	1266
764	4104	1260
765	4107	1254
766	4113	1249
767	4119	1244
768	4124	1238
769	4129	1233
770	4135	1228
771	4141	1223
772	4146	1217
773	4151	1212
774	4156	1206
775	4162	1201
776	4168	1196
777	4174	1191
778	4180	1186
779	4185	1180
780	4189	1174
781	4194	1169
782	4200	1164
783	4205	1158
784	4211	1153
785	4217	1148
786	4224	1143
787	4233	1138
788	4240	1133
789	4247	1129
790	4254	1124
791	4262	1119
792	4268	1114
793	4275	1109
794	4281	1104
795	4290	1099
796	4297	1094
797	4307	1090
798	4313	1085
799	4325	1081
800	4333	1076
801	4340	1071
802	4348	1066
803	4364	1064
804	4370	1058
805	4382	1054
806	4391	1050
807	4404	1046
808	4415	1042
809	4426	1038
810	4434	1033
811	4446	1029
812	4455	1024
813	4465	1020
814	4472	1015
815	4479	1009
816	4484	1004
817	4494	999
818	4501	994
819	4510	990
820	4516	984
821	4524	979
822	4529	974
823	4540	969
824	4551	965
825	4562	961
826	4572	956
827	4581	951
828	4591	947
829	4602	942
830	4613	938
831	4624	933
832	4633	928
833	4640	923
834	4647	918
835	4654	913
836	4663	908
837	4671	902
838	4681	898
839	4686	892
840	4695	887
841	4700	882
842	4705	876
843	4710	870
844	4715	865
845	4720	859
846	4726	853
847	4730	847
848	4735	842
849	4741	836
850	4746	831
851	4751	825
852	4758	820
853	4763	814
854	4770	808
855	4776	803
856	4782	797
857	4789	792
858	4796	787
859	4805	782
860	4810	776
861	4817	771
862	4823	765
863	4829	760
864	4835	754
865	4840	749
866	4847	743
867	4852	737
868	4858	732
869	4865	726
870	4873	721
871	4880	716
